slang,formal,category1,category2,category3
klo,kalo,zeroisasi,0,0
mmg,memang,abreviasi,0,0
knp,kenapa,abreviasi,0,0
hrs,harus,abreviasi,0,0
tunjukan,tunjukkan,zeroisasi,0,0
bhwa,bahwa,abreviasi,0,0
dr,dari,abreviasi,0,0
mgkn,mungkin,abreviasi,0,0
dg,dengan,abreviasi,0,0
anak2mu,anak-anakmu,reduplikasi,0,0
bs,bisa,abreviasi,0,0
mgkn,mungkin,abreviasi,0,0
anak2,anak-anak,reduplikasi,0,0
bagus2,bagus-bagus,reduplikasi,0,0
anak2,anak-anak,reduplikasi,0,0
ngasih2,mengasih-ngasih,afiksasi,reduplikasi,0
berfikir,berpikir,subtitusi,0,0
ni,nih,zeroisasi,0,0
amit2,amit-amit,reduplikasi,0,0
mba,mbak,zeroisasi,0,0
kasian,kasihan,zeroisasi,0,0
elu,lu,anaptiksis,0,0
d,di,abreviasi,0,0
kyk,kayak,abreviasi,0,0
gw,gue,homofon,abreviasi,0
ngajuin,mengajukan,afiksasi,0,0
tiba2,tiba-tiba,reduplikasi,0,0
jkt,jakarta,abreviasi,0,0
kyk,kayak,abreviasi,0,0
ni,ini,zeroisasi,0,0
yaaa,ya,elongasi,0,0
lg,lagi,abreviasi,0,0
thn,tahun,abreviasi,0,0
laki2,laki-laki,reduplikasi,0,0
terbaeq,terbaik,modifikasi vokal,subtitusi,0
utk,untuk,abreviasi,0,0
namany,namanya,abreviasi,0,0
gk,enggak,abreviasi,0,0
jels,jelas,abreviasi,0,0
bgt,banget,abreviasi,0,0
tdk,tidak,abreviasi,0,0
dn,dan,abreviasi,0,0
diakibtkn,diakibatkan,abreviasi,0,0
gk,enggak,abreviasi,0,0
ad,ada,abreviasi,0,0
kerjaan,pekerjaan,zeroisasi,0,0
emng,memang,abreviasi,zeroisasi,0
suk,suka,abreviasi,0,0
jelek2,jelek-jelek,reduplikasi,0,0
emng,memang,abreviasi,zeroisasi,0
dsrny,dasarnya,abreviasi,0,0
ny,nya,abreviasi,0,0
sy,saya,abreviasi,0,0
jkrta,jakarta,abreviasi,0,0
mna,mana,abreviasi,0,0
dn,dan,abreviasi,0,0
mantaap,mantap,elongasi,0,0
benar2,benar-benar,reduplikasi,0,0
sperti,seperti,zeroisasi,0,0
main2,main-main,reduplikasi,0,0
lanjutkaaaaan,lanjutkan,elongasi,0,0
hiduppp,hidup,elongasi,0,0
ncek,encek,zeroisasi,0,0
majuuu,maju,elongasi,0,0
teruuss,terus,elongasi,0,0
kdg2,kadang-kadang,abreviasi,reduplikasi,0
looohh,loh,elongasi,0,0
yg,yang,abreviasi,0,0
udah,sudah,zeroisasi,0,0
sebelumbya,sebelumnya,salah ketik,0,0
tp,tapi,abreviasi,0,0
yg,yang,abreviasi,0,0
bener2,benar-benar,reduplikasi,modifikasi vokal,0
dg,dengan,abreviasi,0,0
ajah,saja,zeroisasi,anaptiksis,0
keles,kali,coinage,0,0
dr,dari,abreviasi,0,0
tp,tapi,abreviasi,0,0
tunjukin,tunjukkan,afiksasi,0,0
kya,kaya,abreviasi,0,0
"tahun""",tahun-tahun,reduplikasi,0,0
jkt,jakarta,abreviasi,0,0
koment,komentar,abreviasi,0,0
ksh,kasih,abreviasi,0,0
k,ke,abreviasi,word-value letter,0
koment,komentar,abreviasi,0,0
sya,saya,abreviasi,0,0
nyampein,menyampaikan,afiksasi,0,0
sya,saya,abreviasi,0,0
nyampein,menyampaikan,afiksasi,0,0
bkn,bukan,abreviasi,0,0
jgn,jangan,abreviasi,0,0
nyari,mencari,afiksasi,0,0
msh,masih,abreviasi,0,0
dlm,dalam,abreviasi,0,0
hokiii,hoki,elongasi,0,0
y,ya,abreviasi,0,0
gk,enggak,abreviasi,0,0
naksir,menaksir,afiksasi,0,0
iyah,iya,anaptiksis,0,0
naksir,menaksir,afiksasi,0,0
"bangt""",banget-banget,reduplikasi,abreviasi,0
cntik,cantik,abreviasi,0,0
bgt,banget,abreviasi,0,0
kk,kakak,abreviasi,0,0
k,kak,abreviasi,0,0
liat,lihat,zeroisasi,0,0
liat,lihat,zeroisasi,0,0
ntar,entar,zeroisasi,0,0
naksir,menaksir,afiksasi,0,0
tw,tau,abreviasi,subtitusi,0
nafkahin,menafkahi,afiksasi,0,0
km,kamu,abreviasi,0,0
dlu,dulu,abreviasi,0,0
ngitem,menghitam,afiksasi,modifikasi vokal,0
banyaaaak,banyak,elongasi,0,0
"sama""",sama-sama,reduplikasi,0,0
gx,enggak,abreviasi,subtitusi,0
lhat,lihat,abreviasi,0,0
ja,saja,abreviasi,0,0
naksir,menaksir,afiksasi,0,0
cantika,cantik,salah ketik,0,0
bgt,banget,abreviasi,0,0
klau,kalau,zeroisasi,0,0
naksir,menaksir,afiksasi,0,0
kmu,kamu,abreviasi,0,0
cwek,cewek,abreviasi,0,0
ak,aku,abreviasi,0,0
laki2,laki-laki,reduplikasi,0,0
udh,sudah,abreviasi,0,0
duhh,duh,elongasi,0,0
kngen,kangen,abreviasi,0,0
fillm,film,elongasi,0,0
dr,dari,abreviasi,0,0
emg,memang,abreviasi,0,0
udh,sudah,abreviasi,0,0
lbh,lebih,abreviasi,0,0
sinet,sinetron,abreviasi,0,0
jendral,jenderal,zeroisasi,0,0
nanya,tanya,afiksasi,0,0
maenya,mainnya,modifikasi vokal,0,0
sinet,sinetron,abreviasi,0,0
cantiks,cantik,anaptiksis,0,0
wktu,waktu,abreviasi,0,0
pilm,film,subtitusi,0,0
yaa,ya,elongasi,0,0
taon,tahun,zeroisasi,modifikasi vokal,0
klau,kalau,zeroisasi,0,0
nd,indak,abreviasi,0,0
slah,salah,abreviasi,0,0
"nangis""",menangis-nangis,reduplikasi,afiksasi,0
ortu,orang tua,akronim,0,0
beliin,belikan,afiksasi,0,0
ituu,itu,elongasi,0,0
donk,dong,homofon,subtitusi,0
dr,dari,abreviasi,0,0
bgtt,banget,abreviasi,elongasi,0
lgsg,langsung,abreviasi,0,0
aja,saja,zeroisasi,0,0
cini,sini,subtitusi,0,0
jaaangan,jangan,elongasi,0,0
uda,sudah,zeroisasi,0,0
nambah,bertambah,afiksasi,0,0
naek,naik,modifikasi vokal,0,0
terimaksih,terima kasih,abreviasi,0,0
saranin,menyarankan,afiksasi,0,0
pake,pakai,monoftongisasi,0,0
inii,ini,elongasi,0,0
kaannnn,kan,elongasi,0,0
tidakkkk,tidak,elongasi,0,0
kemuh,kamu,modifikasi vokal,anaptiksis,0
da,sudah,abreviasi,0,0
keren2,keren-keren,reduplikasi,0,0
gak,enggak,zeroisasi,0,0
nyangka,menyangka,afiksasi,0,0
sempet,sempat,modifikasi vokal,0,0
sby,surabaya,abreviasi,0,0
aq,aku,abreviasi,homofon,0
ga,enggak,abreviasi,zeroisasi,0
y,ya,abreviasi,0,0
aq,aku,abreviasi,homofon,0
nonton,menonton,afiksasi,0,0
tgl,tanggal,abreviasi,0,0
pinginnn,pengin,modifikasi vokal,elongasi,0
buanget,banget,anaptiksis,0,0
ketemuuu,ketemu,elongasi,0,0
ampe,sampai,zeroisasi,monoftongisasi,0
kebawa,terbawa,afiksasi,0,0
mimpiii,mimpi,elongasi,0,0
pengen,pengin,modifikasi vokal,0,0
ketemuuu,ketemu,elongasi,0,0
wanjerrr,anjir,anaptiksis,modifikasi vokal,elongasi
satupunn,satupun,elongasi,0,0
motret,memotret,afiksasi,0,0
kapan2,kapan-kapan,reduplikasi,0,0
temen2,teman-teman,reduplikasi,modifikasi vokal,0
msh,masih,abreviasi,0,0
donk,dong,homofon,subtitusi,0
lapakk,lapak,elongasi,0,0
nyeniii,menyeni,afiksasi,elongasi,0
bget,banget,abreviasi,0,0
ngeselin,mengesalkan,afiksasi,0,0
ad,ada,abreviasi,0,0
yg,yang,abreviasi,0,0
ga,enggak,abreviasi,zeroisasi,0
seeh,sih,modifikasi vokal,elongasi,0
ttg,tentang,abreviasi,0,0
abis,habis,zeroisasi,0,0
deuhh,duh,anaptiksis,elongasi,0
b2an,berduaan,subtitusi,abreviasi,0
dihargain,dihargai,afiksasi,0,0
"engga""",enggak-enggak,reduplikasi,zeroisasi,0
pdhl,padahal,abreviasi,0,0
udh,sudah,abreviasi,0,0
pcrn,pacaran,abreviasi,0,0
tahun2,tahun-tahun,reduplikasi,0,0
tp,tapi,abreviasi,0,0
gk,enggak,abreviasi,0,0
yha,ya,anaptiksis,0,0
lebayy,lebay,elongasi,0,0
kya,kaya,abreviasi,0,0
gilsss,gila,abreviasi,anaptiksis,elongasi
baek,baik,modifikasi vokal,0,0
baper,bawa perasaan,akronim,0,0
dech,deh,anaptiksis,0,0
udh,sudah,abreviasi,0,0
bgt,banget,abreviasi,0,0
nganbek,mengambek,afiksasi,salah ketik,0
sukaa,suka,elongasi,0,0
enk,enak,abreviasi,0,0
njir,anjir,zeroisasi,0,0
kek,kayak,abreviasi,modifikasi vokal,0
gini,begini,abreviasi,0,0
tp,tapi,abreviasi,0,0
mendam,memendam,afiksasi,0,0
gpp,enggak apa-apa,akronim,abreviasi,0
la,lah,zeroisasi,0,0
dr,dari,abreviasi,0,0
maen,main,modifikasi vokal,0,0
manta,mantan,salah ketik,0,0
gituuu,begitu,elongasi,zeroisasi,0
yaaa,ya,elongasi,0,0
ihh,ih,elongasi,0,0
ga,enggak,abreviasi,zeroisasi,0
relaaaa,rela,elongasi,0,0
kmrn,kemarin,abreviasi,0,0
gtu,begitu,abreviasi,0,0
kyak,kayak,abreviasi,0,0
gni,begini,abreviasi,0,0
bgun,bangun,abreviasi,0,0
cntik,cantik,abreviasi,0,0
lg,lagi,abreviasi,0,0
tdur,tidur,abreviasi,0,0
cntk,cantik,abreviasi,0,0
kt,kita,abreviasi,0,0
pengen,pengin,modifikasi vokal,0,0
bgt,banget,abreviasi,0,0
knl,kenal,abreviasi,0,0
anugrah,anugerah,zeroisasi,0,0
slm,salam,abreviasi,0,0
knl,kenal,abreviasi,0,0
pakek,pakai,monoftongisasi,anaptiksis,0
uda,sudah,zeroisasi,0,0
kliatan,kelihatan,zeroisasi,0,0
km,kamu,abreviasi,0,0
yg,yang,abreviasi,0,0
gak,enggak,zeroisasi,0,0
lbih,lebih,abreviasi,0,0
klu,kalau,abreviasi,0,0
awoohhh,allah,coinage,elongasi,0
cantiikk,cantik,elongasi,0,0
bngett,banget,abreviasi,elongasi,0
kli,kali,abreviasi,0,0
kya,kaya,abreviasi,0,0
gt,begitu,abreviasi,0,0
kk,kakak,abreviasi,0,0
sbbyak,sebanyak,abreviasi,salah ketik,0
apun,apapun,abreviasi,0,0
indo,indonesia,abreviasi,0,0
tetep,tetap,modifikasi vokal,0,0
nyangkutnya,menyangkutnya,afiksasi,0,0
yg,yang,abreviasi,0,0
untk,untuk,abreviasi,0,0
kk,kakak,abreviasi,0,0
sihh,sih,elongasi,0,0
kk,kakak,abreviasi,0,0
gk,enggak,abreviasi,0,0
kliatan,kelihatan,zeroisasi,0,0
org,orang,abreviasi,0,0
ampunnnnn,ampun,elongasi,0,0
bgt,banget,abreviasi,0,0
kmu,kamu,abreviasi,0,0
hy,hai,subtitusi,0,0
hy,hai,subtitusi,0,0
hy,hai,subtitusi,0,0
cantikkk,cantik,elongasi,0,0
wadaaw,waduh,coinage,elongasi,0
paraah,parah,elongasi,0,0
org,orang,abreviasi,0,0
aj,saja,abreviasi,0,0
cntk,cantik,abreviasi,0,0
kk,kakak,abreviasi,0,0
donk,dong,homofon,subtitusi,0
sampw,sampai,salah ketik,0,0
pengen,pengin,modifikasi vokal,0,0
ngeliat,melihat,afiksasi,0,0
dijelekin,dijelekkan,afiksasi,0,0
dlu,dulu,abreviasi,0,0
napa,kenapa,abreviasi,0,0
ttp,tetap,abreviasi,0,0
bntu,bantu,abreviasi,0,0
azeeeek,asik,subtitusi,modifikasi vokal,elongasi
kalii,kali,elongasi,0,0
ntikk,cantik,abreviasi,elongasi,0
uhh,uh,elongasi,0,0
mayan,lumayan,abreviasi,0,0
mnisss,manis,abreviasi,0,0
gtu,begitu,abreviasi,0,0
tambahim,tambahkan,afiksasi,salah ketik,0
tambahin,tambahkan,afiksasi,0,0
bngt,banget,abreviasi,0,0
bgt,banget,abreviasi,0,0
klo,kalo,zeroisasi,0,0
pake,pakai,monoftongisasi,0,0
"bener""",benar-benar,reduplikasi,modifikasi vokal,0
klo,kalo,zeroisasi,0,0
make,memakai,afiksasi,0,0
klo,kalo,zeroisasi,0,0
dg,dengan,abreviasi,0,0
org,orang,abreviasi,0,0
yg,yang,abreviasi,0,0
gilaaaa,gila,elongasi,0,0
canttikkk,cantik,elongasi,0,0
baanggeettt,banget,elongasi,0,0
ap,apa,abreviasi,0,0
siiihh,sih,elongasi,0,0
krpoooo,kepo,salah ketik,elongasi,0
pengn,pengin,abreviasi,0,0
gni,begini,abreviasi,0,0
nyusul,menyusul,afiksasi,0,0
nyok,yuk,anaptiksis,modifikasi vokal,0
kk,kakak,abreviasi,0,0
gni,begini,abreviasi,0,0
dekkk,dek,elongasi,0,0
g,enggak,word-value letter,abreviasi,0
da,ada,zeroisasi,0,0
yg,yang,abreviasi,0,0
mw,mau,homofon,0,0
kk,kakak,abreviasi,0,0
baper,bawa perasaan,akronim,0,0
bgt,banget,abreviasi,0,0
ngiri,mengiri,afiksasi,0,0
mmang,memang,abreviasi,0,0
ga,enggak,abreviasi,zeroisasi,0
nentuin,menentukan,afiksasi,0,0
smoga,semoga,zeroisasi,0,0
mnjmput,menjemput,abreviasi,0,0
yg,yang,abreviasi,0,0
kk,kakak,abreviasi,0,0
ygs,sayang,abreviasi,0,0
bgt,banget,abreviasi,0,0
liat,lihat,zeroisasi,0,0
dahh,deh,modifikasi vokal,elongasi,0
jan,jangan,abreviasi,0,0
mblooo,jomblo,abreviasi,0,0
pengen,pengin,modifikasi vokal,0,0
bs,bisa,abreviasi,0,0
ber'expresi,berekspresi,pungtuasi,subtitusi,homofon
bgtu,begitu,abreviasi,0,0
tw,tau,abreviasi,subtitusi,0
ni,ini,zeroisasi,0,0
jdulnya,judulnya,abreviasi,0,0
ap,apa,abreviasi,0,0
ciumman,ciuman,elongasi,0,0
aurot,aurat,modifikasi vokal,0,0
laginy,laginya,abreviasi,0,0
ga,enggak,abreviasi,zeroisasi,0
yg,yang,abreviasi,0,0
nyaaaaaaaaaaaaa,nya,elongasi,0,0
alkhamdulilah,alhamdulillah,anaptiksis,zeroisasi,0
ktnya,katanya,abreviasi,0,0
selaluu,selalu,elongasi,0,0
anjirrr,anjir,elongasi,0,0
ngeh,engah,zeroisasi,modifikasi vokal,0
amen,amin,modifikasi vokal,0,0
bs,bisa,abreviasi,0,0
kliatan,kelihatan,zeroisasi,0,0
mngkin,mungkin,abreviasi,0,0
qm,kamu,abreviasi,subtitusi,0
aamiin,amin,elongasi,0,0
udh,sudah,abreviasi,0,0
ngomong,mengomong,afiksasi,0,0
kmrn,kemarin,abreviasi,0,0
klo,kalo,zeroisasi,0,0
liatnya,lihatnya,zeroisasi,0,0
udh,sudah,abreviasi,0,0
sm,sama,abreviasi,0,0
indo,indonesia,abreviasi,0,0
nahhh,nah,elongasi,0,0
bener,benar,modifikasi vokal,0,0
gak,enggak,zeroisasi,0,0
yah,ya,anaptiksis,0,0
ngmngnya,mengomongnya,abreviasi,afiksasi,0
trs,terus,abreviasi,0,0
yg,yang,abreviasi,0,0
benar2,benar-benar,reduplikasi,0,0
orang2,orang-orang,reduplikasi,0,0
yg,yang,abreviasi,0,0
sampai2,sampai-sampai,reduplikasi,0,0
hal2,hal-hal,reduplikasi,0,0
krn,karena,abreviasi,0,0
komunitas2,komunitas-komunitas,reduplikasi,0,0
utk,untuk,abreviasi,0,0
mw,mau,homofon,0,0
gak,enggak,zeroisasi,0,0
gak,enggak,zeroisasi,0,0
fotony,fotonya,abreviasi,0,0
halllo,halo,elongasi,0,0
sma,sama,abreviasi,0,0
ngiritya,mengiritnya,afiksasi,abreviasi,0
hematt,hemat,elongasi,0,0
cocokk,cocok,elongasi,0,0
dr,dari,abreviasi,0,0
gw,gue,homofon,abreviasi,0
lg,lagi,abreviasi,0,0
ciyeeee,cie,elongasi,anaptiksis,0
ni,nih,zeroisasi,0,0
yeeee,ya,modifikasi vokal,elongasi,0
kk,kakak,abreviasi,0,0
gak,enggak,zeroisasi,0,0
aq,aku,abreviasi,homofon,0
nget,banget,abreviasi,0,0
kususnya,khususnya,zeroisasi,0,0
krm,kirim,abreviasi,0,0
sam,sama,abreviasi,0,0
ajaaahhhhh,saja,zeroisasi,anaptiksis,elongasi
syediiihhh,sedih,anaptiksis,elongasi,0
akuuu,aku,elongasi,0,0
gx,enggak,abreviasi,subtitusi,0
ngerti,mengerti,afiksasi,0,0
malangg,malang,elongasi,0,0
belooomm,belum,elongasi,modifikasi vokal,0
blm,belum,abreviasi,0,0
kn,kan,abreviasi,0,0
blom,belum,modifikasi vokal,zeroisasi,0
bingit,banget,modifikasi vokal,0,0
d,di,abreviasi,0,0
donk,dong,homofon,subtitusi,0
donk,dong,homofon,subtitusi,0
yaakk,ya,elongasi,anaptiksis,0
yaaa,ya,elongasi,0,0
nggk,enggak,abreviasi,0,0
kebukti,terbukti,afiksasi,0,0
anak2e,anak-anaknya,reduplikasi,subtitusi,0
pgn,pengin,abreviasi,0,0
tuwanya,tuanya,anaptiksis,0,0
gmn,bagaimana,abreviasi,0,0
comen2nya,komen-komennya,subtitusi,reduplikasi,0
pedesssss,pedas,elongasi,modifikasi vokal,0
anak2mu,anak-anakmu,reduplikasi,0,0
yg,yang,abreviasi,0,0
krn,karena,abreviasi,0,0
jelas2,jelas-jelas,reduplikasi,0,0
skg,sekarang,abreviasi,0,0
sdh,sudah,abreviasi,0,0
kl,kalo,abreviasi,0,0
yg,yang,abreviasi,0,0
utk,untuk,abreviasi,0,0
anak2nya,anak-anaknya,reduplikasi,0,0
nyebut2,menyebut-nyebut,afiksasi,reduplikasi,0
anak2mu,anak-anakmu,reduplikasi,0,0
yg,yang,abreviasi,0,0
plg,pulang,abreviasi,0,0
smbil,sambil,abreviasi,0,0
hellooooooo,halo,modifikasi vokal,elongasi,0
ngrebut,merebut,afiksasi,0,0
dri,dari,abreviasi,0,0
org,orang,abreviasi,0,0
mnjdi,menjadi,abreviasi,0,0
sprti,seperti,abreviasi,0,0
skg,sekarang,abreviasi,0,0
krna,karena,abreviasi,0,0
ngomong,mengomong,afiksasi,0,0
taek,tahi,zeroisasi,modifikasi vokal,anaptiksis
gak,enggak,zeroisasi,0,0
km,kamu,abreviasi,0,0
smga,semoga,abreviasi,0,0
bget,banget,abreviasi,0,0
hancurin,menghancurkan,afiksasi,0,0
rmh,rumah,abreviasi,0,0
lupain,melupakan,afiksasi,0,0
bangkret,bangkrut,modifikasi vokal,0,0
ngmng,mengomong,abreviasi,afiksasi,0
taekk,tahi,zeroisasi,modifikasi vokal,anaptiksis
lahhhhhh,lah,elongasi,0,0
muna,munafik,abreviasi,0,0
kedokk,kedok,elongasi,0,0
"mati""an",mati-matian,reduplikasi,0,0
pda,pada,abreviasi,0,0
ga,enggak,abreviasi,zeroisasi,0
bsa,bisa,abreviasi,0,0
aq,aku,abreviasi,homofon,0
nyimak,menyimak,afiksasi,0,0
komenx,komennya,word-value letter,0,0
serem2,seram-seram,reduplikasi,modifikasi vokal,0
"ngumpet""",mengumpet-ngumpet,afiksasi,reduplikasi,0
bgt,banget,abreviasi,0,0
klo,kalo,zeroisasi,0,0
km,kamu,abreviasi,0,0
lg,lagi,abreviasi,0,0
blim,belum,salah ketik,zeroisasi,0
km,kamu,abreviasi,0,0
sekrang,sekarang,abreviasi,0,0
smpe,sampai,abreviasi,monoftongisasi,0
ngerebut,merebut,afiksasi,0,0
mnjijikaaaaaan,menjijikkan,abreviasi,elongasi,0
astgfrlh,astagfirullah,abreviasi,0,0
knpa,kenapa,abreviasi,0,0
mba,mbak,zeroisasi,0,0
bngt,banget,abreviasi,0,0
sahabatt,sahabat,elongasi,0,0
bngt,banget,abreviasi,0,0
gnyngka,enggak menyangka,akronim,abreviasi,0
yaa,ya,elongasi,0,0
yg,yang,abreviasi,0,0
kya,kaya,abreviasi,0,0
gtu,begitu,abreviasi,0,0
sendirir,sendiri,anaptiksis,0,0
brengsekk,brengsek,elongasi,0,0
gk,enggak,abreviasi,0,0
da,ada,zeroisasi,0,0
g,enggak,word-value letter,abreviasi,0
prnh,pernah,abreviasi,0,0
tetep,tetap,modifikasi vokal,0,0
mbg,mbak,abreviasi,subtitusi,homofon
gk,enggak,abreviasi,0,0
ngomentnya,mengomentarinya,afiksasi,abreviasi,0
ga,enggak,abreviasi,zeroisasi,0
nusuk,menusuk,afiksasi,0,0
dr,dari,abreviasi,0,0
blg,bilang,abreviasi,0,0
dr,dari,abreviasi,0,0
skr,sekarang,abreviasi,0,0
dpotong,dipotong,abreviasi,0,0
helo,halo,modifikasi vokal,0,0
blm,belum,abreviasi,0,0
dpotong,dipotong,abreviasi,0,0
kmrin,kemarin,abreviasi,0,0
krn,karena,abreviasi,0,0
ngmgin,mengomongkan,abreviasi,afiksasi,0
kw,kau,subtitusi,0,0
bilangg,bilang,elongasi,0,0
yah,ya,anaptiksis,0,0
kw,kau,subtitusi,0,0
dri,dari,abreviasi,0,0
dy,dia,homofon,0,0
ga,enggak,abreviasi,zeroisasi,0
ngerebut,merebut,afiksasi,0,0
temen,teman,modifikasi vokal,0,0
gkhianati,mengkhianati,abreviasi,afiksasi,0
kpd,kepada,abreviasi,0,0
hdup,hidup,abreviasi,0,0
krn,karena,abreviasi,0,0
sdh,sudah,abreviasi,0,0
hdup,hidup,abreviasi,0,0
dg,dengan,abreviasi,0,0
skr,sekarang,abreviasi,0,0
hr,hari,abreviasi,0,0
sp,siapa,abreviasi,0,0
pljaran,pelajaran,abreviasi,0,0
utk,untuk,abreviasi,0,0
org,orang,abreviasi,0,0
spy,supaya,abreviasi,0,0
tdk,tidak,abreviasi,0,0
mngikuti,mengikuti,abreviasi,0,0
klkuan,kelakuan,abreviasi,0,0
spy,supaya,abreviasi,0,0
tdk,tidak,abreviasi,0,0
anak2nya,anak-anaknya,reduplikasi,0,0
tdk,tidak,abreviasi,0,0
dibikin2,dibikin-bikin,reduplikasi,0,0
trus,terus,zeroisasi,0,0
gimana,bagaimana,abreviasi,0,0
nnt,nanti,abreviasi,0,0
ngurusin,mengurusi,afiksasi,0,0
cew,cewek,abreviasi,0,0
cow,cowok,abreviasi,0,0
sm,sama,abreviasi,0,0
aja,saja,zeroisasi,0,0
kasiannn,kasihan,zeroisasi,elongasi,0
bgt,banget,abreviasi,0,0
bnyak,banyak,abreviasi,0,0
mgkin,mungkin,abreviasi,0,0
dr,dari,abreviasi,0,0
cocokkkk,cocok,elongasi,0,0
syekaliii,sekali,anaptiksis,elongasi,0
ngelihat,melihat,afiksasi,0,0
smoga,semoga,zeroisasi,0,0
hgga,hingga,abreviasi,0,0
ngiri,mengiri,afiksasi,0,0
makasih,terima kasih,akronim,0,0
makasih,terima kasih,akronim,0,0
ayoo,ayo,elongasi,0,0
seneng,senang,modifikasi vokal,0,0
kaka,kakak,zeroisasi,0,0
jd,jadi,abreviasi,0,0
pengen,pengin,modifikasi vokal,0,0
namain,menamai,afiksasi,0,0
ank,anak,abreviasi,0,0
bangett,banget,elongasi,0,0
yaaa,ya,elongasi,0,0
cieeeee,cie,elongasi,0,0
bgt,banget,abreviasi,0,0
sholihah,salihah,anaptiksis,modifikasi vokal,0
bangett,banget,elongasi,0,0
adeuh,aduh,anaptiksis,0,0
bgt,banget,abreviasi,0,0
nantiii,nanti,elongasi,0,0
aamiin,amin,elongasi,0,0
halahh,alah,anaptiksis,elongasi,0
luu,lu,elongasi,0,0
leh,boleh,abreviasi,0,0
uga,juga,zeroisasi,0,0
yuuks,yuk,elongasi,anaptiksis,0
ayooo,ayo,elongasi,0,0
ka,kak,zeroisasi,0,0
yoo,ayo,zeroisasi,elongasi,0
ginian,beginian,abreviasi,0,0
judulnyaa,judulnya,elongasi,0,0
ape,apa,modifikasi vokal,0,0
nihh,nih,elongasi,0,0
ko,kok,zeroisasi,0,0
ngikutin,mengikuti,afiksasi,0,0
gk,enggak,abreviasi,0,0
klo,kalo,zeroisasi,0,0
mauuu,mau,elongasi,0,0
inii,ini,elongasi,0,0
bnyak,banyak,abreviasi,0,0
ato,atau,monoftongisasi,0,0
ayoookkkkkk,ayo,elongasi,anaptiksis,0
bgt,banget,abreviasi,0,0
y,ya,abreviasi,0,0
yaaa,ya,elongasi,0,0
pengen,pengin,modifikasi vokal,0,0
yg,yang,abreviasi,0,0
mb,mbak,abreviasi,0,0
klo,kalo,zeroisasi,0,0
cwek,cewek,abreviasi,0,0
namax,namanya,word-value letter,0,0
klo,kalo,zeroisasi,0,0
cwo,cowok,abreviasi,0,0
artix,artinya,word-value letter,0,0
klo,kalo,zeroisasi,0,0
cwek,cewek,abreviasi,0,0
namax,namanya,word-value letter,0,0
klo,kalo,zeroisasi,0,0
cwo,cowok,abreviasi,0,0
namax,namanya,word-value letter,0,0
cewe,cewek,zeroisasi,0,0
cowo,cowok,zeroisasi,0,0
klo,kalo,zeroisasi,0,0
lt,lantai,abreviasi,0,0
cewe,cewek,zeroisasi,0,0
tambahin,tambahkan,afiksasi,0,0
"nama""",nama-nama,reduplikasi,0,0
mba,mbak,zeroisasi,0,0
smg,semoga,abreviasi,0,0
sll,selalu,abreviasi,0,0
cowo,cowok,zeroisasi,0,0
cewe,cewek,zeroisasi,0,0
aja,saja,zeroisasi,0,0
klo,kalo,zeroisasi,0,0
cwe,cewek,abreviasi,0,0
serem,seram,modifikasi vokal,0,0
serem,seram,modifikasi vokal,0,0
bgt,banget,abreviasi,0,0
yg,yang,abreviasi,0,0
masing2,masing-masing,reduplikasi,0,0
elu,lu,anaptiksis,0,0
udah,sudah,zeroisasi,0,0
aja,saja,zeroisasi,0,0
ngapain,mengapai,afiksasi,0,0
kepoin,mengepoi,afiksasi,0,0
keluarin,mengeluarkan,afiksasi,0,0
gajelas,enggak jelas,akronim,0,0
yg,yang,abreviasi,0,0
mbak2,mbak-mbak,reduplikasi,0,0
yg,yang,abreviasi,0,0
pedes,pedas,modifikasi vokal,0,0
smua,semua,zeroisasi,0,0
komentnya,komentarnya,abreviasi,0,0
gk,enggak,abreviasi,0,0
uda,sudah,zeroisasi,0,0
ny,nya,abreviasi,0,0
omongin,mengomongkan,afiksasi,0,0
gk,enggak,abreviasi,0,0
anak2nya,anak-anaknya,reduplikasi,0,0
ngalirrrrr,mengalir,afiksasi,elongasi,0
krn,karena,abreviasi,0,0
udh,sudah,abreviasi,0,0
sbr,sabar,abreviasi,0,0
yg,yang,abreviasi,0,0
g,enggak,word-value letter,abreviasi,0
gmn,bagaimana,abreviasi,0,0
g,enggak,word-value letter,abreviasi,0
ad,ada,abreviasi,0,0
idup,hidup,zeroisasi,0,0
sma,sama,abreviasi,0,0
mrk,mereka,abreviasi,0,0
tp,tapi,abreviasi,0,0
nmbah,bertambah,abreviasi,afiksasi,0
terossss,terus,modifikasi vokal,elongasi,0
gpp,enggak apa-apa,akronim,abreviasi,0
ngehujat,menghujat,afiksasi,0,0
dosaa,dosa,elongasi,0,0
ngebela,membela,afiksasi,0,0
mmg,memang,abreviasi,0,0
seindonesiyah,seindonesia,anaptiksis,0,0
tp,tapi,abreviasi,0,0
ank,anak,abreviasi,0,0
tdk,tidak,abreviasi,0,0
orgtuanya,orang tuanya,abreviasi,akronim,0
jd,jadi,abreviasi,0,0
jgn,jangan,abreviasi,0,0
anknya,anaknya,abreviasi,0,0
kmu,kamu,abreviasi,0,0
seh,sih,modifikasi vokal,0,0
kyk,kayak,abreviasi,0,0
yg,yang,abreviasi,0,0
ksh,kasih,abreviasi,0,0
aja,saja,zeroisasi,0,0
udh,sudah,abreviasi,0,0
